score,cleaned_content,sentiment_before,sentiment_after
3,bagus kadang muncul bug,netral,positif
3,weh lag parah game makan kalo mega map lag kalo bulliyng suka lempar tanah abnormal and report them can admin respon faster,netral,negatif
3,gamenya udah bagus banget sayang revisi ulang mohon banget buat game perhati baik atur game udahlah bully mana harga item naik ngotak player maka delta cit lebihh parah map sus game lumayan anak anak main kta buat game mikir kids,netral,positif
4,boleh neg ngechat,positif,negatif
1,                                   ,negatif,positif
5,roblox udah bagus saran akun orang report cepat notice bug jelek rangin,positif,negatif
3,sorry pake bintang pas bikin shirt situ tulis robux kayak udahlah roblox ada neg ahlak enak banget gratisin dibayarin btw dev becus gng kayak tau neg udah cari pinterest tau neg udah bayar anjir banget dah,netral,negatif
3,seru player nya toxic,netral,positif
4,mes nya gampang lag,positif,negatif
3,sih neg aja ngelag neg wifi deket banget ama ngelaggg ajaaa capeee gonta ganti tau emang neg murah,netral,negatif
5,chat roblox hapus robloxnya,positif,negatif
1,game asik neg asik main,negatif,positif
3,seru,netral,positif
1,gema bagus,negatif,positif
3,seru kadang bug lompat jalan gitu,netral,positif
4,woi roblox kalo main bisa neg masuk,positif,negatif
5,lag kalo main brookhaven susah bikin avatarnya jalan lambat,positif,negatif
3,parfoma ping buruk mohon baik,netral,negatif
3,dont have money eye pls only want make shirt shirt why need pay robux,netral,negatif
5,jelek game bocil,positif,negatif
3,leave game roblox join auto,netral,negatif
3,gamenya bagus suka neg hapus chat alam virtual umur komunikasi orang mohon hapus atur biar anak anak komunikasi orang bintang atur saya neg suka bintang mohon roblox hilang atur,netral,positif
3,mohon maaf karana anak usia bisa neg voice chat memeberi ulas bintang tarik bisa neg voice chat,netral,positif
1,pokok nya,negatif,positif
5,roblox dah kek out,positif,negatif
3,mohon ubah update,netral,positif
5,guys hilangngin chat roblox david neg basucki mad cald man panggil aja,positif,negatif
3,udh tani dri tpi minus,netral,positif
5,baccon hama,positif,negatif
3,bagus sih main nya main main roblox aplikasi roblox eror jugaa wifi full loh,netral,positif
3,keren login,netral,positif
5,kecewa karna akun roblox blokir,positif,negatif
3,kasih karna pas main game sengaja neg uninstal pas main pake akun pas bisa neg lihat orang gitu pas main gamenya udah bagus pilih map gitu sayang lot,netral,positif
3,geme roblox kreatif banget seru banget classic face hapus chat batas ganti tolong roblox balikin kayak biar seru,netral,positif
5,sampah,positif,negatif
2,liar,negatif,positif
3,dikit upgrade mulu,netral,negatif
1,bagus masuk maaf bntg,negatif,positif
5,kali updatenya,positif,negatif
3,bagus kasih aja akun kena hack tolong baik akun plese uda benerin kasih bintang akun aliabdil,netral,positif
5,benar nya udah main ngeleg banget hapus,positif,negatif
3,seru neg,netral,negatif
1,suka ngelag nya full,negatif,positif
4,mau neg bintang chat nya gaada plis milik roblox kembali chat kami,positif,negatif
3,game nya seru sih tpi kadang ngeleg tpi sukak game nya krna avatar gratis nya lucu lucu bgt tpi sayang update trus klo nya gbisa main,netral,positif
3,gameny bagus cuman map ngeleg parah diupdate mles main ngabisin kuota memori,netral,positif
3,peduli,netral,positif
3,upgrade aplikasi hapus,netral,negatif
3,gamenya bagus cuman ngelag aja game nya pas wifi kenceng tolong baik,netral,positif
3,please fix white screen lobby kept getting stuck lobby white screen just profile only,netral,negatif
5,banyak ngeleg,positif,negatif
3,enak sih harga robux mahal barang barang chat dah trusted apa bisa neg ngechat mas ngembok,netral,positif
3,bagus bisa neg ngechat,netral,positif
4,ada neg chat susah ngomong ama player,positif,negatif
1,gamenya sih bagus minus main game roblox mental main game aplikasi lai,negatif,positif
1,jeleekkkkkkkkkkkkkkk,negatif,positif
1,coba,negatif,positif
2,suka game aplikasi masuk map nya diskonek tau knp tolong baik sepenuh lancar,negatif,positif
3,seru bosen,netral,negatif
2,ngak rambut baju gratis bagus,negatif,positif
1,mantap,negatif,positif
1,robox di neg main,negatif,positif
3,game jelas neg gua ganti umur aja gabisa gua udah aneh,netral,negatif
5,map lag koneksi lancar,positif,negatif
3,jujur game udah bagus map mantabb seru dll minus nya banyak update minggu update muluuu,netral,positif
1,downtown roblox nya langsung main dds ngelak,negatif,positif
5,akeh update tah iki titik titik update,positif,negatif
1,bagus,negatif,positif
3,bagus sihh gabisa chat udah coba kali lohh gimana sih verifikasi umur maap polos,netral,positif
5,jelek,positif,negatif
3,kembali chat,netral,negatif
3,game nya verivikasi age nya ngeselin,netral,negatif
3,game gampang ngecrash,netral,negatif
1,the application always bug and the developer never make good anti cheat good,negatif,positif
5,tolong kembali fitur chat,positif,negatif
5,balik akun roblox masa bisa neg main roblox,positif,negatif
4,klo gabung server privat udah jam nunggu,positif,negatif
3,developer tolong player aplikasi cheater tolong ban muak ketemu player cheat mohon tindak lanjut terima kasih,netral,negatif
3,game udah brainrot roblox dibiarin hapus bisa neg chat tolong baik kayak,netral,negatif
3,lumayan upgrade voist suara terverivikasi,netral,positif
1,gamenya seru pls kasih fitur offine main gamenya gabisa mabar moga baca,negatif,positif
3,game nya baguss mabar sayang terkadang kalo chat bareng temen teks suka sensor batas oke sapa harap roblox baik yaa,netral,positif
5,cepat download nya bujang,positif,negatif
5,buruk jelek burik bagus neg game buruk dunia,positif,negatif
3,gamemya bagus suka disconect,netral,positif
5,murahin item shop roblox pls basuki granpa item mahal mahal mampu neg beli pls,positif,negatif
4,unduh game fomo ama temenku,positif,negatif
3,lumayan,netral,positif
3,seru banget gabisa chat tan,netral,positif
3,nya jelas neg tau umur umur,netral,negatif
3,gamenya bagus loadingnya cepetin suka roblox,netral,positif
3,bagus sih chat good but can chat,netral,positif
5,roblok hati kaki,positif,negatif
3,wish there was off button the settings not buy items accidentally pressed the buy button,netral,negatif
5,game nya sih ngelag gara neg gara game nya udah panas nya ngelag salah neg game nya,positif,negatif
4,chat clasik fase hilang ganti makeup,positif,negatif
1,game bagus ajar virtual imajinasi jarang main karna rating,negatif,positif
4,game seru neg gara fitur chat hapus,positif,negatif
1,gila game suka pas main,negatif,positif
3,lumayan bagus,netral,positif
3,like this game but why knapa pas log neg slalu upgrade kalo rajin login harus neg upgrade trs kadang kalo suruh upgrade tungguin pas buka suruh upgrade again pdahal wifi lancar jaya,netral,negatif
1,game bagus neg bisa neg ngechat kalo ngechat enak main,negatif,positif
2,seru bisa neg interaksi,negatif,positif
5,game baik sampah roblox jempol,positif,negatif
2,game bagus dunia kagak chat benci roblox aka kasih rating,negatif,positif
3,seru main main,netral,positif
1,bagus,negatif,positif
3,sinyal game nya jelek game loh,netral,negatif
5,kalo update bisa neg,positif,negatif
3,gamenya bagus cuman chatan suruh apdet lambat cepat apdet nya nya bikin emosi,netral,positif
3,permainnan nya sungguhh tpii uras data terimakasih,netral,positif
2,hihihi seru hihi seru enak bener beneran bikin film google hibur anak anak enak banget enak gamenya main game roblox developer hati hati moga developer bikin oke bagus,negatif,positif
2,seru,negatif,positif
3,report tanggap biarin dongo cheater tolol,netral,negatif
1,roblox please kembaliin chat,negatif,positif
4,kasih rating fist talon kikir kasih secret min bilangin talon,positif,negatif
5,tdak ter update,positif,negatif
3,lag pasang wifi aman,netral,negatif
3,game nyeselin chat,netral,negatif
5,gimana neg gimana seru log bikini kesima,positif,negatif
2,eror sinyal wifi nya bagus,negatif,positif
3,suka chat,netral,positif
3,kaga chat malas,netral,negatif
3,game nya asik sih koneksi putus wifi ada neg eror nih knp dimainin oflline ,netral,positif
5,seru bosen,positif,negatif
4,roblox tolong ban para orang scripter hacker risih hadir tolong roblox update fitur ban scripter hacker,positif,negatif
3,seru,netral,positif
1,bagussss,negatif,positif
4,karna bisa neg voice chat bawah umur,positif,negatif
3,there are chat again,netral,negatif
3,ngebug oke bagus depan server fitur,netral,positif
4,karna bisa neg ngechat,positif,negatif
5,bisa neg chat anjirr gua ngechat tmn bisaa tpi lumayan yaakkk,positif,negatif
1,tolong game teman nyangkokot main tanda tulis mohon maaf bayar juta puluh gitu,negatif,positif
2,payb,negatif,positif
1,ngomong kasar,negatif,positif
3,terlalu neg bagus karna chat nya kelompok usia,netral,positif
5,seriously banget chat hapus afk disconcerting,positif,negatif
4,update baru busuk banget seru pilih,positif,negatif
3,game bagus sih bikin data cepet abis,netral,positif
4,gampang nge bug,positif,negatif
4,tau neg roblox bisa neg main kecewa,positif,negatif
1,game seru bngt ajar game roblox,negatif,positif
3,update memo penuh woi seru,netral,positif
1,bagus,negatif,positif
1,geme nya bagus kayak gin sih,negatif,positif
3,quite buggy but quite fun but unfortunately can talk friends,netral,negatif
3,game bagus sumpah atur nya ketat ngebug banget voice chat aja udah diperingatin suara kek bocil umur langsung dah mute voice chat tolong baik bug join ulang experience ngeselin banget join tolong benar main experience berat suka gameplay pause grafik bagus bagus aja wifi bagus suka ngejeda mulu ganggu,netral,negatif
1,bagus,negatif,positif
1,main seru neg seru frre flayer main beli robux aja haru kalo ribu aja udh dapet diamond,negatif,positif
4,game nya kalok kalang pas main game kesal,positif,negatif
2,gamenya bagus bikin malas main batas usia verif umur,negatif,positif
5,apaaan sihh geme nyaaaaa gelehhh mainn tapi upgrade main upgrade gimana beli robux ilangg dongg mohon main neg game jelekk  tolong baik ini,positif,negatif
3,classic face hapus,netral,negatif
3,aplikasi meboleh neg chat situ bintang,netral,negatif
1,main suka curi,negatif,positif
4,balikin chat nya asuuuuuuuu,positif,negatif
3,seru banget,netral,positif
1, x   s ,negatif,positif
3,update nya jelek,netral,negatif
1,pas downlod jaring nya bagus loh,negatif,positif
5,kembali chat,positif,negatif
4,update mulu,positif,negatif
1,kembaliin roblox dlu,negatif,positif
1,gemnya bagus sih pliss udahan neg nya seru gemnya,negatif,positif
4,plissss kembali chattt,positif,negatif
2,saran tim kembang harap buka akses komunikasi suara anak dar neg komunikasi teks usia dapat neg tulis pesan,negatif,positif
5,bagus kecuali face nya tolong balikin classic face tolong ganti bikin shirt bikin gratis updatenya buruk banget bisa neg bikin shirt,positif,negatif
1,gasuka,negatif,positif
3,tolong kembali roblox roblox scripter hacker ganggu player,netral,negatif
5,blokir soal neg trool pukul bantu pukul plis blokir,positif,negatif
5,ora ana chat tulung bales wae bodho,positif,negatif
5,mod jugaa neg,positif,negatif
3,saga meyennag,netral,positif
2,gamenya bagus tolong kasih item gratis,negatif,positif
3,update bodoh banget,netral,negatif
3,gema bayak,netral,positif
5,multi billion dollar company mampu neg hilang scripter cheater sengaja boleh aplikasi bug lag age check error age group bantu neg sebenernya arah mana nyaping lebar baik sama singkat mudah gilak susah bodo cepat jir ngurusin gituan lag jaring jir,positif,negatif
3,game nya seru banyak neg updet,netral,positif
3,tolong roblox batasin chat umur fitur menggangu teman roblox usia gabisa chat tolong baik batas umur,netral,negatif
3,game nya bagus tolong game epik off road tambah mode malam sore pagi map lupa neg kasih agama kristen islam nuansa desa kota upd game epik off road,netral,positif
4,roblox pleaseee bring back classic faces and chats just use age verification voice chats not regular chats pleaseee begging youuu,positif,negatif
5,hilang bug,positif,negatif
5,game nya bikin neg bosen bocil,positif,negatif
2,protesss,negatif,positif
3,jaman roblox black hole ngehapus fitur chat klasik fase item gratis,netral,negatif
1,gaada aitem gratis toko,negatif,positif
3,gamenya ngelag,netral,negatif
4,tried joining some game but just gave error code everytime fix please can even play,positif,negatif
3,lag strip biru,netral,negatif
4,gwe ngomong temen susah woii susahhh meds diem ngerti neg pls woiii balikinn chat nyaaaaa ped ped tuh ban ajig ngapain biarin oon,positif,negatif
3,game nya bagus pilih masuk tulis disconnect wifi jaring nya bagus tolong baik bug,netral,positif
5,game nya seru mabar teman bisa neg chat fitur nya hilang verifikasi muka ktp males bangettt,positif,negatif
4,bisa neg chat bebas ngobrol teman akuu tolong baik ngobrol bebas temen,positif,negatif
2,game nya bagus udh dapet robak sush nyari nya ,negatif,positif
1,this shuck switching minecraft,negatif,positif
5,game aneh game bgo game jelek game jelek gue masuk udh band gjls bgt nih game,positif,negatif
3,geme batas,netral,negatif
3,dang you youre getting three,netral,negatif
3,love this game but there many bug found,netral,positif
3,ng lag asik mabar,netral,negatif
3,puas sensor batas chat sesuai umur sulit teman interaksi orang global,netral,negatif
4,bida neg chat,positif,negatif
3,gamenya bagus sihh suka neg ssama update verivikasi umur harus scan wajah nya akun bisa neg chat,netral,positif
3,main maksud cokk tur chat plis usah neg upgrade plis kls loh,netral,negatif
5,tau neg inti bagu,positif,negatif
2,suka,negatif,positif
3,nya chat lol,netral,negatif
3,suka main malam kesal petir hari mati sambar petir,netral,positif
5,dapet neg robux gerat ,positif,negatif
5,gamenya update neg kadang penuh,positif,negatif
3,game bagus tolong banned orang curang ganggu game tolong baik bug kasih bintang,netral,positif
3,geme lumayan cari game nya capek tetep suka,netral,positif
3,gimana sinyal bagus lag lag sinyal nya anjirr,netral,negatif
3,bug gabisa masuk roblox sinyal bagus,netral,negatif
1,benned,negatif,positif
5,gamenya bagus main sayang bisa neg bikin afatar nya jelek pake robux semang neg adek sepupu kecewa ama main bilang dulu neg blokkir roblox mengkali mas main mau neg main,positif,negatif
4,game bagus neg bisa neg chat kesel knp roblox bisa neg dimainin anak usia bawah banyak bocil mainin game ada neg bocil kembang neg game kalo salah cakap dimaafin,positif,negatif
5,akun satu pake script jujur,positif,negatif
5,bro roblox verifikasi kecewa main,positif,negatif
3,jelek banget ngelek,netral,negatif
3,udh bisa neg chat lgi,netral,negatif
3,woi roblox balikin fitur kau apus,netral,negatif
1,game keren,negatif,positif
2,robak,negatif,positif
3,bagus sih wifi atauga paket tuh bagus cocok main ngeleg parah aplikasi normal,netral,positif
3,seru dapet bnyak temen online pokok nya bikin neg bosen deh knra skali map mainin minus nya atur suka neg,netral,positif
3,senang sayang perlu neg kali kali update ngebug neg buat neg anak anak candu main game ,netral,positif
1,pas main roblox nya aplikasi,negatif,positif
2,great for friends,negatif,positif
3,sumpah terlalu neg update woi gin memori cepet habis,netral,negatif
4,game bagus sinyal ngelek banget main teka teki ngeleknya sempet gara gara ngelek bintang ,positif,negatif
5,plis kalo main tuh tulis dapat neg hubung periksa internet tuh gitu wifi nya lancar banget lho,positif,negatif
5,fitur chat sehrsnya tida nonaktif dgn tdk umur,positif,negatif
3,roblox seru ngga bagus ngga mic chat,netral,positif
3,seru sih ngelag pas main wifi nya kenapa neg napa aman bgt ngelag jdnya sebel roblox,netral,positif
3,game nya bagus cuman bug gitu suka main evade blade ball lain seru banget cuman bug update gjls update nya jlk suka game nya update neg nya,netral,positif
2,suka ngebug wifi lancar,negatif,positif
3,asik main oembatasan usia bisa neg chating open mic beda umur main komunikasi teman group muncul gbok bgaimana kerjasama main muncul gembok chat,netral,negatif
4,bisa neg main block fruits main block fruits layar gelap akibat bisa neg masuk game,positif,negatif
3,there are lots games but there are also lots people who cheat bully gay lesbians date but are still underage there are lots frauds that are not suitable for children,netral,negatif
3,bisa neg voice chat klo bwah umur bkin resahh pdhl klo tahu ajar tinggal blokir,netral,negatif
2,aplikasi suka cuman kalo gitu kelupas gitu main kasi nya,negatif,positif
1,roblok plenger yah,negatif,positif
5,gemesnya jelas neg,positif,negatif
3,gamenya seru sih bikin rating bintang karna chat nya verifikasi tau balik chatnya blokir verifikasi blokir chat nya tuh kayak orang kenal neg kayak gitu blokir orang suka nanyain rumah nya mana alamat mana lokasi nya mana umur tuh blokir tuju nih neg,netral,positif
3,roblox tolong dongg buat map ngemis sihh udah tekan suka neg game nya muncul teruss contoh main game tower sungai udah klik suka neg game muncul tanda ngemis nama tolong banned aja map cocok neg makasih,netral,positif
4,tolong balikin chat nya bisa neg chatan teman,positif,negatif
4,update chat tipu pake muka,positif,negatif
5,susah username digagalin mlu,positif,negatif
1,bagus,negatif,positif
3,ramah neg update,netral,negatif
4,plis developer chat,positif,negatif
3,usaha gede kalah scripter cheater bebas liar anti cheatnya rasa lemah banget kayak formalitas harga aksesoris goreng mikirin duit ngebenerin utama bikin gameplay fair neg tambah respon lapor player lambat jelas neg game improve roblox,netral,negatif
3,game lumayan bagus mnurut pilihanya banget,netral,positif
3,roblox bisa neg ngitung beli barang nya robux robux cuman,netral,positif
5,cepet dapet temen bisa neg chat ,positif,negatif
3,seru update nya ngak karna developer kikir nama david bazookaa,netral,positif
5,ajing gua nya luarbiasa ngelek gua coba samaaja,positif,negatif
3,game bagus chat balikin kasi bintang,netral,positif
3,bagus seru kalo nge update kalo mau neg nge update update main,netral,positif
5,plis roblox kembali chat,positif,negatif
3,kecewa bisa neg chat teman karna beda umur chat roblox,netral,negatif
3,ngeleg mulu banyak updatenya,netral,negatif
3,kalo verifikasi pake neg roblox bikin plc takut salah habis coba kalo verifikasi ulang verifikasi nya pake terlalu neg guna passport sim dll tolong ubah yaa,netral,negatif
4,kamera kadang kamera diri susah ngaturnya,positif,negatif
5,game burik bagus,positif,negatif
3,kalo pilih server pisah asia eropa dll biar tinggi neg pingnya,netral,negatif
1,bagus gamenya tolong udah laporin orang pake cheat ke neg ban nya fly ngerusak akun,negatif,positif
1,bintang game nya seru,negatif,positif
3,game bgus update nya agk lain,netral,positif
3,game nya bagus kalok main kadang cipta robblox tolong turunin nya pliss,netral,positif
1,lemottt bangett,negatif,positif
1,nge lag trus upgradenya banget,negatif,positif
1,seruuuuuu bgt,negatif,positif
1,chat seru,negatif,positif
2,seru sih sinyal nya susah,negatif,positif
1,maaf developer coba bilang buat game freadbear mega roleplay roblox interetc kepala endo udah langsung usah neg ngelewati tantang,negatif,positif
5,update nya ngotak neg,positif,negatif
3,buruk neg map patah bug kali jaring nya udah stabil tpi aja gitu mohon baik,netral,negatif
1,bintang,negatif,positif
3,bagus bisa neg chat orang,netral,positif
3,game senang game lag,netral,positif
5,tolong kembali akun nama arot arorot akun bisa neg masuk,positif,negatif
5,keren orang bilang game jelek game roblox bisa neg chat verifikasi biar chat orang sus game avatar gratis hacker ngerusak game game resah roblox,positif,negatif
4,karna ada neg vitur chat,positif,negatif
3,gamenya hibur mamiliki pilih bosan neg akhir update nya tarik bosan,netral,positif
1,elek kencer,negatif,positif
1,ijin anak msh maen roblox belanja klik aja saldo gopay potong knp transaksi pakai gopay tdk konfirmasi pin terimakasih ,negatif,positif
2,lumayan sayang mes,negatif,positif
4,classic face hapuss anjirr,positif,negatif
1,grafis,negatif,positif
5,game nya lag curang kesel dehh,positif,negatif
1,komentar game suka sih game nya grafik bagus suka bisa neg chatting chatting kayak kali main roblox dah segitu aja,negatif,positif
4,game ngeleg,positif,negatif
5,kembali chat woii blox fruit bareng bocil abg abb,positif,negatif
1,recomendasi neg game orang suka ngobrol adi bilang halo nak ban,negatif,positif
1,main senang,negatif,positif
1,harga item nya,negatif,positif
3,cet,netral,negatif
1,bagus banget,negatif,positif
3,roblox seru update chat batas rela ngehapus item fitur makeup kangen era roblox,netral,positif
3,goblox,netral,negatif
1,banget syarat kalo beli robux chat,negatif,positif
3,geravik bagus,netral,positif
4,masuk bisa neg gamenya ,positif,negatif
3,emang roblox seru chat gue bintang,netral,positif
1,   ,negatif,positif
4,balikin vitur chat,positif,negatif
5,benci roblox,positif,negatif
3,normal roblox kalo update hapus apk kecuali gara gara nih,netral,positif
1,gamauuu kasih bintang limas bagus apk nya chat paket verivikasi usia sudiii mahhh izinnn roblox iyaa izinnn,negatif,positif
3,nilai rena ambil kouta cepat banget main menit udah aja ambil tolong rangin aja usah neg banyak,netral,negatif
5,mengupdet roblox buka ingat update roblox,positif,negatif
5,menyusakan neg,positif,negatif
1,bagus cdid nya realistic neg,negatif,positif
3,roblox pelan pelan bunuh roblox realistis,netral,positif
5,balikin chat,positif,negatif
5,roblox asu,positif,negatif
4,marah marah roblox redmi main roblox gue benci roblox ,positif,negatif
3,roblox pake data klo jdi premium vip gratis ,netral,positif
3,pilih geme chat,netral,positif
1,sungguh senang orang kasih robax mudah apdetnya bikin main seru neg,negatif,positif
5,roblox tolong benerin gamenya masuk bilang ada neg jaring,positif,negatif
3,talon kikir seru,netral,negatif
1,tipu,negatif,positif
4,kayak gimana roblox skarang kayak seru neg bisa neg chat classic face hapus smua nya ganti classic face makeup makeupnya kagak gratis anjir seru cuman ngebosenin gitu gitu aja bye,positif,negatif
3,the game good but you can delete your chat history too much chat can cause lag very annoying and also causes lot junk accumulate your phone hopefully the chat history clearing feature will appear soon,netral,negatif
1,map roblox punya neg game playstore,negatif,positif
3,main gerak tolong developer baik atur gerak main gerak sekian terimakasih tolong developer,netral,positif
1,robux,negatif,positif
5,pls baik akun udh robux loh login enddk rugi plssss,positif,negatif
5,update neg banyak roblox ngeleg minggu udh update sampe simpan uda penuh gausah banyak classic face nya hapus make ondel ondel kah roblox pliss lahh udah hilangin chat hilang sih roblox terimakasih baca,positif,negatif
2,game nya bagus seru temen mabar masuk roblox suka salah koneksi wifi penuh masuk servernya tiba disconnected wifi baik pas upgrade gagal kasih bintang yaa,negatif,positif
3,geme nya bagus roblox tolong balikin sistem chat roblox kampung main roblox ada neg,netral,positif
1,main nya seru tpi main sesuai neg gambar suka lag padahall jaring bagus,negatif,positif
3,kasih rating karna bug trs aku map nya bagus trs kesel nya bisa neg chat,netral,positif
5,hilang boring,positif,negatif
3,tambahin chatnya broken gitu biar seru ngomongnya biar player player nampak gitu sekian terima kasih assalamualaikum warahmatullahi wabarakatuh ,netral,positif
2,seru udah di neg bolehin main roblox ,negatif,positif
3,can chat,netral,negatif
3,update gakjelas klasic face hapus udah iconic,netral,negatif
3,maaf roblox banyak update memo penuh tolong kalo game apa update neg update sih iya tolong main map dikeluarin roblox mulu tolong baik roblox bagus kasih bintang bintang,netral,positif
3,not bad,netral,positif
3,seru sih suka update pas udah hapus hame foto ruang cukup neg dana tulis kirim saran tolong update nya rangin,netral,positif
5,seruuu ribet ferivikasi,positif,negatif
3,bintang aja bagus game bintang scripter di neg ban game classic face hapus dijadiin animasi,netral,negatif
5,asik neg semenjak batas chat nya,positif,negatif
5,game burik bnyk bug udh aja males,positif,negatif
2,main nya bagus ngebak neg semenjak update game nya seru neg bisa neg chat gara gara update,negatif,positif
3,batas komunikasi susah berkomunikasih player,netral,negatif
5,main nya keran ngak chat,positif,negatif
3,roblox plis chat balikin seru neg kalo chat balikinnn,netral,negatif
3,karna roblox seru neg ngelindungi offlain gilak kau davit basuki ,netral,negatif
3,enak dimainin,netral,positif
1,main nya bagus update,negatif,positif
3,aja,netral,positif
3,bhagus tpi game lag parahh klo frame rate turunin sihh,netral,positif
3,bgus,netral,positif
3,tolong baik bug nya bisa neg masuk jaring pakai wifi lancar jaya aman sentosa keluh orang orang baca cuma neg masuk notif,netral,negatif
2,nice,negatif,positif
1,yah gem bagus main pake delta anak anak fomo,negatif,positif
5,main pas jdi killer ketar tir,positif,negatif
3,bintang karna pakai kuatanya,netral,positif
3,game nya udah bagus banget main tolong ban error apk gimana,netral,positif
5,kesini aneh update nya ,positif,negatif
4,david bazucki want ask why you are making bad updates for roblox players,positif,negatif
3,game seru,netral,positif
3,pas main blox fruit susah skill nya,netral,negatif
5,will give stars please bring back the old chat feature,positif,negatif
3,gamenya bagus tpi suka nheleg bisa neg chat roblox,netral,positif
5,butut,positif,negatif
3,lumayan geme nya pilih nya game bikin panas heker orang,netral,positif
3,seru map asik tolong fitur chat nya kembali,netral,positif
3,game udh bagus yaaa game nya suka ngebug lag seru neg,netral,positif
3,bagus bug kadang kena suspend ngomong neg ngomong kasar engga trs skrg updatenya ngobrol dngn org usia sepi gara gara update and update bikin simpan penuh sebel,netral,negatif
2,maaf roblox seru sih bug pas masuk koneksi putus mulu wifinya bug nya lag kalo bug mohon baik lagi,negatif,positif
5,gajelas gua ngapain kena ban muluk gapernah pakek scrip chester kena ban muluk monyt ngomong neg kasar publik top roblox langsung kena ban anj kali dah bikin game,positif,negatif
1,game bagus,negatif,positif
4,udah bisa neg ngechat udah batas usia,positif,negatif
3,maksud affah anjir bisa neg chat punya neg temen gweh,netral,negatif
4,bisa neg ganti grup umur salah pilih harus nya masuk grup dewasa karna dewasa sengaja neg masuk grup umur umur atas mohon hadap,positif,negatif
4,bintang aja fish kikir neg selbihnya aman,positif,negatif
3,min bisa neg maen map laen tampil map ungulan bisa neg maen sinyal bagus akhir gin mohon baik terimakasih,netral,positif
1,roblox seru,negatif,positif
3,balikin chat nya seru neg cari temen doang ceo bilang sakit ihhh jijiqq sumpilll,netral,negatif
1,kalok roblox updet neg terus updet nya kalok robux,negatif,positif
1,lumayan bagus enak,negatif,positif
3,suka game ajar apa,netral,positif
3,seru seru cmn plis balikin fitur chat balikin classic face jdi bisa neg cht cht temen classic face nya hapus,netral,negatif
1,stelah main roblox jam kurang coba percaya neg,negatif,positif
4,game nya bagus sih cuman suka neg fitur chat larang gitu bisa neg komunikasi chat kadang diprafasakan bikin kesel classic face nya udh hapus jujur muak mah udah lumayan,positif,negatif
5,game nya bagus tolong roblox ngebanned neg scripter kalo main ganggu mulu kek terbangin dll ngebalikin classic face aku neg nyesel beli face mahal hapus ganti dynamic maksud neg dynamic jelek update nya bikin ava orang jelek make duh males ngejelasin bener bener update jelek bener jelek,positif,negatif
1,kalo liat ulas saranin kalo ketemu cheater map mana di neg report nasib kaya mute,negatif,positif
2,suka nya bug,negatif,positif
1,jaring bagus roblox leg banget jaring nya,negatif,positif
2,roblox enak balikin roblox,negatif,positif
1,main nya bos,negatif,positif
1,seru aski mantap,negatif,positif
3,roblox fitur chat batasin umur tambahin item gratis kaya baju celana rambut ayo roblox baik,netral,negatif
1,pokok,negatif,positif
5,game jelek,positif,negatif
5,chat roblox mic,positif,negatif
3,upgrade,netral,positif
5,game bagus ajar bahasa inggris ulas jelek hpnya ngelage bisa neg main hahahah,positif,negatif
4,chat ada neg kasih dinta,positif,negatif
3,bintang top dana bisa neg error jelas neg,netral,negatif
1,roblox bagus sih boros kouta paket karna mau neg main roblox suka,negatif,positif
3,roblox mati ape engak panas baik roblox,netral,negatif
1,seruh,negatif,positif
3,knp upgrade trs sih lgi,netral,positif
3,suka bgt main apalgi evade minus bnyak nake bikin kesel skillissuelu trus jam ngelag mulu bawa bikin mls pdhl pen maen,netral,positif
5,cet,positif,negatif
3,suka sih pake data internet susah jarang main game nya,netral,positif
3,game orang suka kasih bintang,netral,positif
2,kasih rating dikit karna playernya jail bgt gara tampar troll gasuka trus gamenya udh ngebosenin alhamdulillah robux,negatif,positif
1,ngeleg game kasih bintang aja,negatif,positif
3,bagus sih kadang lag harga item nya mahal banget,netral,positif
1,downold,negatif,positif
3,bagus update buruk bikin kecewa berat gimana engga kecewa upd nya ngotak neg jir ciri khas roblox pudar,netral,negatif
5,game nya kaya mimek,positif,negatif
3,change mind its mid,netral,negatif
1,game nya sih bagus cuman nya gede banget,negatif,positif
4,chat ngebug map nya brainrot bosan gapapa main,positif,negatif
5,bisa neg pake kalo wifi nya kalo knp yyak,positif,negatif
3,bagus kalo donlod enga jadi bug nya,netral,positif
1,bagus,negatif,positif
3,banyak bug and lag,netral,negatif
1,sua dah suka sihh rugi kali kaliini sih rugi,negatif,positif
3,suka bgt sih bisa neg chat fake headless apus hapus adil neg,netral,positif
1,game nya bagus,negatif,positif
3,hekernya gemnya,netral,positif
3,fitur chat roblox kembali game mabar bis komen moga fitur chat roblox kembali,netral,negatif
3,apdet uras data,netral,negatif
5,tayyy neg,positif,negatif
3,kena scam roblox rugi coba baik nya kena scamnya pas beli avatar guest mohon roblox baik salah kena neg orang beli avatar moga salah roblox baik,netral,negatif
3,game nya seru muka nya update neg nya gitu muka game jelek kasih bintang muka legends nya kembali,netral,negatif
1,roblox bikin gobelok dadi,negatif,positif
3,gamenya seru mabar teman cari teman digamenya bisa neg chat classic facenya hapus ngelag ngebug tolong baik,netral,negatif
3,bgs sih tombol lompat nya tombol lompat nya tlong baik,netral,positif
3,balik chat,netral,negatif
4,bisa neg sih,positif,negatif
3,bagus sih plis update nya bagus nyiksa disconnect mulu jaring bagus isi nih kuota,netral,positif
